num_epochs,activation_function,hidden_size,param_mean,param_std,delta,gamma,train_accuracy,train loss,validation_accuracy,validation_loss,bound,train_loss
75,Tanh,[5],0,0.1,0.05,0.1,91.4312,,91.4328,0.28207071782866666,8.409981996426175,0.2812241209194115
75,Tanh,[5],0,0.1,0.05,0.2,91.4312,,91.4328,0.28207071782866666,3.7175634858305666,0.2812241209194115
75,Tanh,[5],0,0.1,0.05,0.3,91.4312,,91.4328,0.28207071782866666,2.287998973628717,0.2812241209194115
75,Tanh,[5],0,0.1,0.05,0.4,91.4312,,91.4328,0.28207071782866666,1.6260537472500536,0.2812241209194115
75,Tanh,[5],0,0.1,0.05,0.5,91.4312,,91.4328,0.28207071782866666,1.2627742070963146,0.2812241209194115
75,Tanh,[5],0,0.1,0.1,0.1,91.4312,,91.4328,0.28207071782866666,8.409974008830588,0.2812241209194115
75,Tanh,[5],0,0.1,0.1,0.2,91.4312,,91.4328,0.28207071782866666,3.7175450795922735,0.2812241209194115
75,Tanh,[5],0,0.1,0.1,0.3,91.4312,,91.4328,0.28207071782866666,2.287968267176902,0.2812241209194115
75,Tanh,[5],0,0.1,0.1,0.4,91.4312,,91.4328,0.28207071782866666,1.6260088599031026,0.2812241209194115
75,Tanh,[5],0,0.1,0.1,0.5,91.4312,,91.4328,0.28207071782866666,1.2627131088176837,0.2812241209194115
75,Tanh,[5],0,0.1,0.2,0.1,91.4312,,91.4328,0.28207071782866666,8.409966021227325,0.2812241209194115
75,Tanh,[5],0,0.1,0.2,0.2,91.4312,,91.4328,0.28207071782866666,3.7175266732600694,0.2812241209194115
75,Tanh,[5],0,0.1,0.2,0.3,91.4312,,91.4328,0.28207071782866666,2.287937560289058,0.2812241209194115
75,Tanh,[5],0,0.1,0.2,0.4,91.4312,,91.4328,0.28207071782866666,1.625963971194052,0.2812241209194115
75,Tanh,[5],0,0.1,0.2,0.5,91.4312,,91.4328,0.28207071782866666,1.2626520071039415,0.2812241209194115
75,Tanh,[5],0,0.1,0.3,0.1,91.4312,,91.4328,0.28207071782866666,8.409961348775388,0.2812241209194115
75,Tanh,[5],0,0.1,0.3,0.2,91.4312,,91.4328,0.28207071782866666,3.717515906202419,0.2812241209194115
75,Tanh,[5],0,0.1,0.3,0.3,91.4312,,91.4328,0.28207071782866666,2.2879195977090174,0.2812241209194115
75,Tanh,[5],0,0.1,0.3,0.4,91.4312,,91.4328,0.28207071782866666,1.625937712351071,0.2812241209194115
75,Tanh,[5],0,0.1,0.3,0.5,91.4312,,91.4328,0.28207071782866666,1.2626162633000202,0.2812241209194115
75,Tanh,[5],0,0.1,0.4,0.1,91.4312,,91.4328,0.28207071782866666,8.409958033616387,0.2812241209194115
75,Tanh,[5],0,0.1,0.4,0.2,91.4312,,91.4328,0.28207071782866666,3.717508266833953,0.2812241209194115
75,Tanh,[5],0,0.1,0.4,0.3,91.4312,,91.4328,0.28207071782866666,2.287906852965166,0.2812241209194115
75,Tanh,[5],0,0.1,0.4,0.4,91.4312,,91.4328,0.28207071782866666,1.6259190811227775,0.2812241209194115
75,Tanh,[5],0,0.1,0.4,0.5,91.4312,,91.4328,0.28207071782866666,1.2625909019545085,0.2812241209194115
75,Tanh,[5],0,0.01,0.05,0.1,92.44826666666667,,92.3968,0.2583241215778349,11.005089656149774,0.2561258941837952
75,Tanh,[5],0,0.01,0.05,0.2,92.44826666666667,,92.3968,0.2583241215778349,4.905130696579618,0.2561258941837952
75,Tanh,[5],0,0.01,0.05,0.3,92.44826666666667,,92.3968,0.2583241215778349,3.0426092389513664,0.2561258941837952
75,Tanh,[5],0,0.01,0.05,0.4,92.44826666666667,,92.3968,0.2583241215778349,2.1780471441927296,0.2561258941837952
75,Tanh,[5],0,0.01,0.05,0.5,92.44826666666667,,92.3968,0.2583241215778349,1.7014987880221173,0.2561258941837952
75,Tanh,[5],0,0.01,0.1,0.1,92.44826666666667,,92.3968,0.2583241215778349,11.0050835720877,0.2561258941837952
75,Tanh,[5],0,0.01,0.1,0.2,92.44826666666667,,92.3968,0.2583241215778349,4.905116848912055,0.2561258941837952
75,Tanh,[5],0,0.01,0.1,0.3,92.44826666666667,,92.3968,0.2583241215778349,3.042586403344941,0.2561258941837952
75,Tanh,[5],0,0.01,0.1,0.4,92.44826666666667,,92.3968,0.2583241215778349,2.17801415816336,0.2561258941837952
75,Tanh,[5],0,0.01,0.1,0.5,92.44826666666667,,92.3968,0.2583241215778349,1.7014544620795369,0.2561258941837952
75,Tanh,[5],0,0.01,0.2,0.1,92.44826666666667,,92.3968,0.2583241215778349,11.005077488022234,0.2561258941837952
75,Tanh,[5],0,0.01,0.2,0.2,92.44826666666667,,92.3968,0.2583241215778349,4.905103001204502,0.2561258941837952
75,Tanh,[5],0,0.01,0.2,0.3,92.44826666666667,,92.3968,0.2583241215778349,3.042563567559183,0.2561258941837952
75,Tanh,[5],0,0.01,0.2,0.4,92.44826666666667,,92.3968,0.2583241215778349,2.1779811715934625,0.2561258941837952
75,Tanh,[5],0,0.01,0.2,0.5,92.44826666666667,,92.3968,0.2583241215778349,1.701410134825329,0.2561258941837952
75,Tanh,[5],0,0.01,0.3,0.1,92.44826666666667,,92.3968,0.2583241215778349,11.005073929070512,0.2561258941837952
75,Tanh,[5],0,0.01,0.3,0.2,92.44826666666667,,92.3968,0.2583241215778349,4.905094900796325,0.2561258941837952
75,Tanh,[5],0,0.01,0.3,0.3,92.44826666666667,,92.3968,0.2583241215778349,3.042550209397704,0.2561258941837952
75,Tanh,[5],0,0.01,0.3,0.4,92.44826666666667,,92.3968,0.2583241215778349,2.177961875436461,0.2561258941837952
75,Tanh,[5],0,0.01,0.3,0.5,92.44826666666667,,92.3968,0.2583241215778349,1.7013842044357779,0.2561258941837952
75,Tanh,[5],0,0.01,0.4,0.1,92.44826666666667,,92.3968,0.2583241215778349,11.005071403953377,0.2561258941837952
75,Tanh,[5],0,0.01,0.4,0.2,92.44826666666667,,92.3968,0.2583241215778349,4.905089153456959,0.2561258941837952
75,Tanh,[5],0,0.01,0.4,0.3,92.44826666666667,,92.3968,0.2583241215778349,3.0425407315940873,0.2561258941837952
75,Tanh,[5],0,0.01,0.4,0.4,92.44826666666667,,92.3968,0.2583241215778349,2.1779481844830104,0.2561258941837952
75,Tanh,[5],0,0.01,0.4,0.5,92.44826666666667,,92.3968,0.2583241215778349,1.7013658062593775,0.2561258941837952
75,Tanh,[5],0,0.001,0.05,0.1,91.87653333333333,,91.8272,0.27364259801172064,9.200307855518131,0.27183540188564376
75,Tanh,[5],0,0.001,0.05,0.2,91.87653333333333,,91.8272,0.27364259801172064,4.085003608806822,0.27183540188564376
75,Tanh,[5],0,0.001,0.05,0.3,91.87653333333333,,91.8272,0.27364259801172064,2.530142078831817,0.27183540188564376
75,Tanh,[5],0,0.001,0.05,0.4,91.87653333333333,,91.8272,0.27364259801172064,1.8139461808284034,0.27183540188564376
75,Tanh,[5],0,0.001,0.05,0.5,91.87653333333333,,91.8272,0.27364259801172064,1.4234331289538769,0.27183540188564376
75,Tanh,[5],0,0.001,0.1,0.1,91.87653333333333,,91.8272,0.27364259801172064,9.200300560569746,0.27183540188564376
75,Tanh,[5],0,0.001,0.1,0.2,91.87653333333333,,91.8272,0.27364259801172064,4.084986871741711,0.27183540188564376
75,Tanh,[5],0,0.001,0.1,0.3,91.87653333333333,,91.8272,0.27364259801172064,2.5301142725111947,0.27183540188564376
75,Tanh,[5],0,0.001,0.1,0.4,91.87653333333333,,91.8272,0.27364259801172064,1.813905708651312,0.27183540188564376
75,Tanh,[5],0,0.001,0.1,0.5,91.87653333333333,,91.8272,0.27364259801172064,1.4233783008701384,0.27183540188564376
75,Tanh,[5],0,0.001,0.2,0.1,91.87653333333333,,91.8272,0.27364259801172064,9.20029326561551,0.27183540188564376
75,Tanh,[5],0,0.001,0.2,0.2,91.87653333333333,,91.8272,0.27364259801172064,4.084970134605991,0.27183540188564376
75,Tanh,[5],0,0.001,0.2,0.3,91.87653333333333,,91.8272,0.27364259801172064,2.5300864658667885,0.27183540188564376
75,Tanh,[5],0,0.001,0.2,0.4,91.87653333333333,,91.8272,0.27364259801172064,1.813865235475824,0.27183540188564376
75,Tanh,[5],0,0.001,0.2,0.5,91.87653333333333,,91.8272,0.27364259801172064,1.4233234703040902,0.27183540188564376
75,Tanh,[5],0,0.001,0.3,0.1,91.87653333333333,,91.8272,0.27364259801172064,9.20028899833813,0.27183540188564376
75,Tanh,[5],0,0.001,0.3,0.2,91.87653333333333,,91.8272,0.27364259801172064,4.084960343976492,0.27183540188564376
75,Tanh,[5],0,0.001,0.3,0.3,91.87653333333333,,91.8272,0.27364259801172064,2.530070199872438,0.27183540188564376
75,Tanh,[5],0,0.001,0.3,0.4,91.87653333333333,,91.8272,0.27364259801172064,1.8138415597230204,0.27183540188564376
75,Tanh,[5],0,0.001,0.3,0.5,91.87653333333333,,91.8272,0.27364259801172064,1.4232913953281954,0.27183540188564376
75,Tanh,[5],0,0.001,0.4,0.1,91.87653333333333,,91.8272,0.27364259801172064,9.20028597065543,0.27183540188564376
75,Tanh,[5],0,0.001,0.4,0.2,91.87653333333333,,91.8272,0.27364259801172064,4.084953397399662,0.27183540188564376
75,Tanh,[5],0,0.001,0.4,0.3,91.87653333333333,,91.8272,0.27364259801172064,2.5300586588985867,0.27183540188564376
